@relation voices
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute voice {bass, baritone, tenor, alto, soprano}



@data
1.8282565,0.56216747,3.866778,3.3148334,6.8007407,2.413751,9.49105,48.242264,9.260585,30.188633,5.1682734,2.5163782,14.168087,5.3732934,6.9746146,5.5353813,8.027874,0.80341166,1.8282565,1.8282565,1.8282565,1.8282565,19.758112,4.9457574,7.6658397,22.239012,3.0827127,6.6191998,4.7930274,3.7567098,1.5774696,5.814457,5.7273474,2.1544926,4.496902,3.3214178,5.293635,2.3196745,3.0394309,4.4352603,1.4007515,1.6418146,1.1317939,0.7361862,2.0680134,3.057871,1.4058865,1.5162088,2.0916767,1.2999476,1.4981629,2.9691765,1.6890467,1.3208889,2.9729667,3.8206832,3.5408971,4.4093065,3.7477074,2.809316,0.7915565,1.8167921,4.7017794,2.9637084,bass
3.8362732,3.5308948,5.514943,7.212039,7.7573,5.60633,21.969044,47.365864,15.352223,30.220243,4.3782587,1.1156278,8.390939,3.3911438,2.9597726,5.9516892,1.6750745,1.3973306,3.8362732,3.8362732,3.8362732,3.8362732,6.9314,2.3421714,3.484247,5.6479025,3.471898,1.942757,4.797295,1.1024609,3.5608048,2.1280408,1.5640719,2.207309,0.8051757,3.7436836,4.1754565,2.3124502,3.2713773,0.6090054,2.1104982,0.8322072,2.3256607,3.1389606,1.1811589,0.29699615,1.6637378,1.0462124,2.5991428,1.6437033,0.900098,2.4124413,0.3713735,2.4342332,1.5416821,2.2367296,2.2873535,1.9561332,1.2611779,1.5177056,2.9463942,0.8138534,1.542408,2.107884,bass
2.8926063,2.705622,4.002709,4.0112085,3.899211,2.3187153,6.417806,25.965515,12.159229,14.075254,6.902049,6.1914625,2.9702663,0.3431553,1.7962854,10.679663,18.88874,2.4585984,2.8926063,2.8926063,2.8926063,2.8926063,2.8164551,3.9856858,7.416885,6.3564963,3.2255826,2.6061587,7.8012466,4.239521,1.8383318,3.8990712,7.62458,5.6117597,2.2285497,3.7769973,1.8840897,1.1651953,1.8902537,2.4506378,7.6277075,2.4276958,0.90666085,0.24013266,1.1903785,2.0274963,2.336753,1.1084933,3.373455,0.07898686,2.6076035,2.6397414,1.6030698,2.1882732,1.640702,0.52357537,1.3639612,2.239714,1.5714805,1.0122786,1.3100358,2.1839964,0.93368506,0.48695773,bass
2.4103646,1.7758955,2.9092362,4.6015234,11.155692,6.062343,7.598211,31.474405,1.7483741,44.22132,9.7942505,1.737089,6.614827,2.574356,3.6490724,11.708365,4.0416093,0.74933314,2.4103646,2.4103646,2.4103646,2.4103646,2.134026,1.9311981,6.071338,2.7724164,1.5995494,1.752439,1.7117592,1.9192703,0.6526618,1.1256284,3.0936875,0.48217657,0.9715562,2.7661781,1.4443738,0.34015897,0.48217562,2.421861,4.3776455,0.49552795,0.6918551,1.3326802,1.0480787,0.71752447,1.5812646,2.493431,1.0210786,1.9499412,0.6074719,1.494013,0.8138725,1.93172,1.427095,3.0151017,2.3104563,1.2567911,0.2780632,1.2629321,1.2380596,1.1636007,0.92075783,1.4781841,bass
2.077099,3.9809566,2.0750105,5.997693,1.877565,5.258264,10.341223,23.320063,2.0823154,15.084137,5.5798306,7.3707914,2.7073054,31.84313,17.040373,8.73443,10.6100025,3.6554456,2.077099,2.077099,2.077099,2.077099,4.4710293,4.3566236,1.5677361,3.7724812,7.5183945,4.4911675,0.93799335,1.7101731,2.718258,0.59025174,1.2008022,2.0830162,1.3440812,1.1669881,0.84654045,3.6084151,1.5840136,3.3008254,3.2473612,2.1399374,2.811905,3.0916748,0.34645036,3.0794096,0.7230375,0.61338013,1.7605633,0.8549655,2.665688,1.5796299,1.4552988,1.6064898,2.2868192,1.1171478,1.7595115,1.7454665,1.8482987,0.35673878,0.6461059,3.5059721,0.563557,1.451728,bass
2.5396504,3.3667421,5.017264,4.529372,11.982222,6.2091036,11.457574,32.381523,18.353174,11.319523,4.9137034,7.92257,15.297826,13.680387,27.824135,6.9930773,11.765006,6.5112953,2.5396504,2.5396504,2.5396504,2.5396504,8.163677,3.5838013,7.8908863,2.9153993,5.1387258,4.0051475,1.3921992,3.2451365,2.0691154,2.579634,2.2431064,2.6779106,2.0716712,2.06254,1.5352349,2.8542256,0.37521413,1.286445,1.4126613,2.1489213,1.994105,1.3135709,0.12054951,3.9172196,3.3661962,2.8901112,3.6833286,1.8970114,1.6035365,2.9356012,0.80682606,1.609985,1.5404621,1.4142308,3.2385132,2.1823645,0.6223872,0.8550416,1.2088467,2.4912434,2.436501,1.6066498,bass
4.063997,4.1625257,3.6837013,6.0129743,2.013423,9.321464,36.607647,24.519468,3.5342643,8.727986,5.6205215,7.1915374,6.3846145,8.216011,30.599209,6.745968,8.099454,3.880973,4.063997,4.063997,4.063997,4.063997,26.428167,3.9999638,2.9754755,1.7461101,2.1468558,1.3164874,1.5777729,2.2747748,1.0746689,0.8931066,1.4575629,1.9867427,3.85004,1.5279286,2.6550128,4.200256,0.84534955,2.080954,0.8869363,3.5663264,3.2817302,1.9131888,1.2913684,1.3202978,2.2564828,0.56194186,1.1125021,2.4323006,0.1694233,0.68443185,1.6349396,2.0041504,1.0586253,0.9953064,1.3001145,2.8503947,0.16351844,1.8037494,1.3252859,0.7195661,1.4878775,2.4898245,bass
2.4347374,1.9345455,1.660129,4.4916306,1.9173812,8.328924,41.148697,23.771032,9.749598,5.788966,3.7365215,4.070849,3.089713,7.6719394,72.71852,10.945623,4.8162055,5.0261316,2.4347374,2.4347374,2.4347374,2.4347374,36.80048,3.142529,2.978492,3.9071648,4.932273,2.9340627,1.1700323,1.1979455,3.2037,3.002939,3.5037386,5.31165,1.8208244,1.8996624,3.4574811,1.906471,4.9343944,3.9995494,3.0844007,0.5126864,2.7465158,1.8911301,1.5752665,2.5550694,2.3489435,2.762626,2.384323,1.1592318,2.055215,0.941604,0.7866234,2.0776117,3.3795063,3.1417687,0.83622557,4.0616016,2.883045,1.6578525,1.7402407,1.7405958,1.0289809,2.0594342,bass
1.2861208,3.8115215,1.1883674,2.3991358,11.097141,15.358414,27.84119,29.300518,6.265097,13.491353,4.4398866,6.657598,0.8033801,7.6000843,12.332407,35.584984,10.300964,1.2502232,1.2861208,1.2861208,1.2861208,1.2861208,27.313122,9.300829,6.4607635,10.494637,4.6246176,3.2171085,6.120813,9.882773,1.7541807,2.3423018,2.5185735,1.6964989,3.3483496,3.5329392,2.219707,3.0717442,1.6962225,2.4174356,5.5350213,2.1117175,2.1865907,4.8949165,4.384206,3.8200543,3.5059643,5.9166694,5.7240415,2.2866125,3.1214523,0.4054483,2.4001906,4.8351483,1.6971861,3.3130457,1.097701,4.490632,8.102316,4.0525036,1.2105814,3.403701,0.8211815,0.93604136,bass
3.1493769,4.9914923,4.834071,3.0985184,6.9324064,22.725647,8.243268,23.604954,7.048466,6.9369597,4.180212,6.061855,5.559864,7.7791243,9.959395,28.380259,14.722383,3.5868278,3.1493769,3.1493769,3.1493769,3.1493769,12.079113,5.315607,10.098792,14.964794,3.8365476,1.3527797,4.555843,3.39218,1.1632451,2.691004,1.1795202,2.5514588,0.43262893,4.53304,2.3320518,1.2131281,2.5148475,1.6196847,1.1608863,1.841798,0.85000974,2.1131105,2.7227232,1.2008891,1.4904383,1.1743766,3.7101622,2.1740825,1.4546777,1.5945525,2.8481767,3.7252703,0.6421542,2.4137523,1.8093894,2.2405746,2.2501929,2.3587248,3.0754488,1.170758,2.065869,2.9549606,bass
